periood;tegevus;Mehed;Naised
'1999-2000';Isiklik tegevus;648;647
'1999-2000';..uni;519;520
'1999-2000';..söömine ja joomine;76;72
'1999-2000';..muu isiklik tegevus;52;54
'1999-2000';..enesehooldusega seotud liikumine;1;1
'1999-2000';Tasuline töö;234;167
'1999-2000';..põhitöö;192;139
'1999-2000';..lisatöö;11;8
'1999-2000';..tööandjaga seotud tegevus;5;3
'1999-2000';..lõunavaheajad;3;1
'1999-2000';..tasulise tööga seotud liikumine;23;16
'1999-2000';Õppimine;51;41
'1999-2000';..kool/ülikool;44;35
'1999-2000';..õppimine vabal ajal;2;2
'1999-2000';..õppimisega seotud liikumine;5;4
'1999-2000';Majapidamine ja perekond*;161;287
'1999-2000';..söögitegemine;29;95
'1999-2000';..majapidamise korrashoid;30;45
'1999-2000';..riiete valmistamine ja hooldamine;1;32
'1999-2000';..aiatöö ja lemmikloomade eest hoolitsemine;26;30
'1999-2000';..ehitamine ja parandamine;25;2
'1999-2000';..ostmine ja teenindus;19;27
'1999-2000';..majapidamise juhtimine;4;5
'1999-2000';..lapsehoidmine;7;29
'1999-2000';..täiskasvanu hooldamine;1;2
'1999-2000';..majapidamise ja perekonnaga seotud liikumine;19;20
'1999-2000';Vabatahtlik töö ja nõupidamised;18;15
'1999-2000';..vabatahtlik töö organisatsiooni heaks;1;0
'1999-2000';..leibkondadevaheline informaalne abi;13;10
'1999-2000';..osalustegevus;1;2
'1999-2000';..vabatahtliku tööga seotud liikumine;3;3
'1999-2000';Vaba aeg*;327;282
'1999-2000';..suhtlemine;34;36
'1999-2000';..meelelahutus ja kultuur;5;5
'1999-2000';..passiivne puhkus;23;22
'1999-2000';..füüsilised harjutused;25;20
'1999-2000';..''produktiivne'' tegevus;6;1
'1999-2000';..spordiga seotud tegevus;1;0
'1999-2000';..hobid;1;3
'1999-2000';..arvutiga seotud tegevus (v.a arvutimängud)*;4;0
'1999-2000';..mängud;9;5
'1999-2000';..lugemine;36;36
'1999-2000';..televisioon ja video;148;128
'1999-2000';..raadio ja muusika;14;9
'1999-2000';..vaba ajaga seotud liikumine;21;17
'1999-2000';Piiritlemata ajakasutus;1;1
'2009-2010';Isiklik tegevus;666;670
'2009-2010';..uni;534;532
'2009-2010';..söömine ja joomine;83;79
'2009-2010';..muu isiklik tegevus;49;58
'2009-2010';..enesehooldusega seotud liikumine;0;0
'2009-2010';Tasuline töö;197;161
'2009-2010';..põhitöö;171;140
'2009-2010';..lisatöö;..;1
'2009-2010';..tööandjaga seotud tegevus;1;1
'2009-2010';..lõunavaheajad;2;1
'2009-2010';..tasulise tööga seotud liikumine;22;19
'2009-2010';Õppimine;36;30
'2009-2010';..kool/ülikool;29;25
'2009-2010';..õppimine vabal ajal;2;2
'2009-2010';..õppimisega seotud liikumine;5;4
'2009-2010';Majapidamine ja perekond*;155;248
'2009-2010';..söögitegemine;24;78
'2009-2010';..majapidamise korrashoid;32;39
'2009-2010';..riiete valmistamine ja hooldamine;1;19
'2009-2010';..aiatöö ja lemmikloomade eest hoolitsemine;17;23
'2009-2010';..ehitamine ja parandamine;19;2
'2009-2010';..ostmine ja teenindus;21;26
'2009-2010';..majapidamise juhtimine;2;3
'2009-2010';..lapsehoidmine;11;30
'2009-2010';..täiskasvanu hooldamine;0;1
'2009-2010';..majapidamise ja perekonnaga seotud liikumine;19;22
'2009-2010';Vabatahtlik töö ja nõupidamised;14;13
'2009-2010';..vabatahtlik töö organisatsiooni heaks;1;0
'2009-2010';..leibkondadevaheline informaalne abi;10;8
'2009-2010';..osalustegevus;1;2
'2009-2010';..vabatahtliku tööga seotud liikumine;3;2
'2009-2010';Vaba aeg*;366;316
'2009-2010';..suhtlemine;34;37
'2009-2010';..meelelahutus ja kultuur;7;7
'2009-2010';..passiivne puhkus;30;28
'2009-2010';..füüsilised harjutused;31;25
'2009-2010';..''produktiivne'' tegevus;4;1
'2009-2010';..spordiga seotud tegevus;1;0
'2009-2010';..hobid;3;4
'2009-2010';..arvutiga seotud tegevus (v.a arvutimängud)*;49;25
'2009-2010';..mängud;14;6
'2009-2010';..lugemine;24;30
'2009-2010';..televisioon ja video;142;128
'2009-2010';..raadio ja muusika;5;4
'2009-2010';..vaba ajaga seotud liikumine;24;20
'2009-2010';Piiritlemata ajakasutus;6;3
